,0.1,0.2,0.3,0.4,0.5
lap-cdp,9.929243621767794,4.98661425086815,3.3316136750880068,2.504703594553586,2.0116713417106777
gauss-cdp,38.584589290041194,19.185921977223163,12.885437363702447,9.696268475890477,7.693070026653744
lap-odo,9.969978192391567,4.997504240368306,3.298618851465956,2.422873758177853,1.91574993942331
lap-ostack1,9.935982553913254,4.93852677489702,3.2841773685485824,2.41012842258299,1.8972861642839836
lap-dng,10.041870608189969,4.985800823842985,3.279210079961231,2.449503271141265,1.9213472255875939
lap-ostack2,11.447007511509572,5.655173249333656,5.25287133511025,2.722025684516598,2.543712139568694
gauss-ostack1,31.960794766173976,16.060237460625153,10.643542524836443,8.053937484855828,6.376060092076569
gauss-dng,38.8329052580567,19.27904046522898,12.873467409740732,9.70971650109038,7.718294160407075
ldp,14508601018349.75,13029991424247.377,11644256508991.086,10355276939230.705,9164770618089.637
shuffle,651064437.4409877,44599672.73409093,12423333.750543157,7121146.315241533,5717712.516013665
