,0.1,0.2,0.3,0.4,0.5
lap-cdp,197.6104484058905,49.717095026033434,21.6753841288252,13.128130763904343,7.991292092060771
gauss-cdp,2359.253662109375,603.475341796875,254.30029296875,146.65576171875,94.22802734375
lap-odo,203.49169921875,49.64453125,21.261962890625,11.76953125,7.305908203125
lap-ostack1,204.06298828125,51.077392578125,22.8837890625,12.35498046875,7.84716796875
lap-dng,203.153564453125,49.721435546875,21.8974609375,12.23974609375,8.164306640625
lap-ostack2,271.65283203125,66.360595703125,61.4287109375,17.46533203125,16.12548828125
gauss-odo,2367.76611328125,576.648193359375,272.51513671875,146.477783203125,94.890380859375
gauss-ostack1,2457.8701171875,576.648193359375,272.51513671875,146.477783203125,94.890380859375
gauss-dng,2385.652099609375,573.338134765625,279.6845703125,151.423095703125,95.888916015625
ldp,14508601018349.75,13029991424247.377,11644256508991.086,10355276939230.705,9164770618089.637
shuffle,651064437.4409877,44599672.73409093,12423333.750543157,7121146.315241533,5717712.516013665
