,0.1,0.2,0.3,0.4,0.5
lap-cdp,337.71625265534516,162.4743768077028,106.89291416495652,79.83454267501236,63.24410079107699
gauss-cdp,1267.5827952200657,644.33741297319,416.63330038136894,310.86610153491563,250.32937891845955
lap-odo,326.89089670385647,163.9976227297779,105.37253505196529,77.94608876309435,60.20478155495792
lap-ostack1,328.5097056063067,166.16068237342412,105.34906729318246,79.35078315142641,63.22094676516347
lap-dng,317.7533911626894,166.47080627931697,104.11102437675903,77.46982644032393,64.96074908077732
lap-ostack2,372.84623823030245,179.96935289087548,168.85898836226187,91.43850937981341,86.79927084100535
gauss-odo,1256.9602978737107,631.7712902247421,430.43354984759065,318.9222030769452,253.76755803956507
gauss-ostack1,1258.9605514920322,631.7712902247421,430.43354984759065,318.9222030769452,253.76755803956507
gauss-dng,1270.4339862465433,628.4896739013284,427.96812766456236,327.3487701612159,256.2942861515595
ldp,14508601018349.75,13029991424247.377,11644256508991.086,10355276939230.705,9164770618089.637
shuffle,651064437.4409877,44599672.73409093,12423333.750543157,7121146.315241533,5717712.516013665
